iter	MAE
0	52.18917639
1	52.07882345
2	52.03354697
3	51.95152932
4	51.76469607
5	51.66573556
6	51.65173243
7	51.57797831
8	51.57797831
9	51.57766736
10	51.52964287
11	51.50722982
12	51.44733326
13	51.42403914
14	51.40104027
15	51.33724631
16	51.28840955
17	51.25665807
18	51.13915539
19	51.09032607
20	50.89398223
21	50.87034616
22	50.83334328
23	50.83052842
24	50.80272405
25	50.70274809
26	50.55221383
27	50.53210076
28	50.5120972
29	50.51096
30	50.46102905
31	50.44191081
32	50.44185046
33	50.43994789
34	50.42511843
35	50.42511843
36	50.36917861
37	50.36876875
38	50.36840353
39	50.36709928
40	50.33269959
41	50.33134196
42	50.30693587
43	50.25562382
44	50.25477082
45	50.25327263
46	50.23817032
47	50.21833659
48	50.20187765
49	50.19980226
50	50.19831206
51	50.19617749
52	50.07718003
53	50.02480355
54	50.02264573
55	49.83860264
56	49.81149466
57	49.79542562
58	49.76203078
59	49.76178713
60	49.75978677
61	49.74763416
62	49.71678029
63	49.68306848
64	49.68304529
65	49.63060812
66	49.60318612
67	49.58614701
68	49.57406555
69	49.5713753
70	49.56935817
71	49.56352097
72	49.53459309
73	49.45410499
74	49.45228642
75	49.4512105
76	49.45057392
77	49.42781466
78	49.42696701
79	49.42447178
80	49.39914898
81	49.3983646
82	49.3805674
83	49.35278022
84	49.34498923
85	49.33861746
86	49.33856948
87	49.27304529
88	49.27254093
89	49.24764588
90	49.24763969
91	49.24663749
92	49.24443376
93	49.21727653
94	49.21504267
95	49.16841934
96	49.16793773
97	49.15069638
98	49.04808497
99	49.04642851
100	49.04619196
101	49.02539094
102	49.01606654
103	49.01555833
104	49.01358589
105	49.01358478
106	48.96938223
107	48.93035126
108	48.92982536
109	48.88982254
110	48.8880141
111	48.86857269
112	48.85413405
113	48.854133
114	48.85345221
115	48.85345165
116	48.85328045
117	48.85238665
118	48.85088339
119	48.8508628
120	48.84936702
121	48.84796194
122	48.84641843
123	48.84533366
124	48.84533155
125	48.84373441
126	48.84373235
127	48.83746654
128	48.83746654
129	48.83736591
130	48.82307106
131	48.82307047
132	48.82242215
133	48.822422
134	48.8224212
135	48.82114826
136	48.82087863
137	48.82087853
138	48.82063013
139	48.81903571
140	48.81651595
141	48.81518398
142	48.79920347
143	48.74502002
144	48.744082
145	48.72942688
146	48.7267321
147	48.71067849
148	48.70986723
149	48.69318973
150	48.69318971
151	48.69219845
152	48.63765496
153	48.62772537
154	48.62772536
155	48.62665671
156	48.56347021
157	48.56269725
158	48.54894583
159	48.50164661
160	48.43501347
161	48.43335097
162	48.33826141
163	48.33638647
164	48.3358533
165	48.33389511
166	48.33280836
167	48.33192244
168	48.24002109
169	48.22269454
170	48.22156184
171	48.20054813
172	48.19831869
173	48.18069766
174	48.18026078
175	48.16473217
176	48.16472402
177	48.16376381
178	48.1330618
179	48.1324766
180	48.12945206
181	48.11693855
182	48.11573438
183	48.11505534
184	48.1026081
185	48.10256012
186	48.10144207
187	48.10051888
188	48.06616331
189	47.97095105
190	47.97025557
191	47.96983894
192	47.92720785
193	47.9255478
194	47.921293
195	47.8698052
196	47.85237105
197	47.85103924
198	47.85103923
199	47.84939946
200	47.84735256
201	47.83865707
202	47.83710441
203	47.82276973
204	47.82267071
205	47.82267022
206	47.82266204
207	47.82265427
208	47.82264689
209	47.79820749
210	47.79779969
211	47.79779267
212	47.78557276
213	47.7855661
214	47.77483199
215	47.73900572
216	47.70493773
217	47.7044804
218	47.70215442
219	47.66407356
220	47.66363834
221	47.60902581
222	47.49662502
223	47.4956535
224	47.49431999
225	47.49377031
226	47.49267527
227	47.49183098
228	47.49036123
229	47.47834779
230	47.46457191
231	47.46456689
232	47.46221446
233	47.46105769
234	47.46046758
235	47.46009931
236	47.44879156
237	47.44785439
238	47.44756578
239	47.43421146
240	47.43332152
241	47.4319958
242	47.41026106
243	47.40825406
244	47.40822256
245	47.39561913
246	47.39483733
247	47.33528107
248	47.33519112
249	47.33495838
250	47.32366391
251	47.32292455
252	47.32220811
253	47.32183562
254	47.32149042
255	47.31878344
256	47.31802741
257	47.29108737
258	47.2891022
259	47.259439
260	47.25819955
261	47.25812735
262	47.25655104
263	47.25570393
264	47.25489918
265	47.25413466
266	47.25325854
267	47.25087725
268	47.25041753
269	47.24968934
270	47.24927609
271	47.21787743
272	47.2169347
273	47.21690489
274	47.21629889
275	47.19351392
276	47.18143874
277	47.17358593
278	47.17242908
279	47.17164119
280	47.17121398
281	47.17080815
282	47.17042299
283	47.17000917
284	47.16257113
285	47.13967939
286	47.08935048
287	47.0828901
288	47.07880208
289	46.94341922
290	46.93277723
291	46.82906609
292	46.8203174
293	46.81047322
294	46.79742225
295	46.79730719
296	46.7937777
297	46.78784869
298	46.78742434
299	46.78730865
300	46.78601718
301	46.78418234
302	46.75065979
303	46.73938613
304	46.72397762
305	46.70082764
306	46.70049893
307	46.70043538
308	46.70037778
309	46.5843425
310	46.53232358
311	46.53212724
312	46.53191453
313	46.53173521
314	46.52950675
315	46.51612735
316	46.51327293
317	46.5067849
318	46.50678141
319	46.50661819
320	46.5052858
321	46.48794937
322	46.48731235
323	46.47448001
324	46.4743475
325	46.39823772
326	46.39818267
327	46.33413279
328	46.33391645
329	46.33360256
330	46.3330479
331	46.32221366
332	46.27097294
333	46.27064462
334	46.25478766
335	46.253826
336	46.25369595
337	46.22767207
338	46.22684473
339	46.21646153
340	46.21620773
341	46.21516779
342	46.20179675
343	46.17194089
344	46.1719302
345	46.15088789
346	46.14074769
347	46.1393307
348	46.13892919
349	46.13540609
350	46.12813525
351	46.1238625
352	46.1231003
353	46.12296635
354	46.12274159
355	46.12248338
356	46.1053186
357	46.10508971
358	46.10440053
359	46.10169769
360	46.09629232
361	46.09115316
362	46.0891625
363	46.06581309
364	46.04842068
365	46.02222713
366	46.02212552
367	46.01995741
368	46.00052522
369	45.9457581
370	45.93952082
371	45.93933454
372	45.93795539
373	45.92842741
374	45.92699807
375	45.92588666
376	45.92588492
377	45.92581481
378	45.92577179
379	45.9161845
380	45.9161122
381	45.90635386
382	45.89244599
383	45.89232618
384	45.89214348
385	45.89210515
386	45.89204429
387	45.87967077
388	45.87936476
389	45.8792469
390	45.87908641
391	45.87893394
392	45.87889493
393	45.87878593
394	45.87848521
395	45.87844509
396	45.87783343
397	45.87751608
398	45.87740762
399	45.87738874
400	45.84896964
401	45.84759964
402	45.84757937
403	45.76600386
404	45.76596119
405	45.76546
406	45.76542893
407	45.76267196
408	45.68517729
409	45.68513647
410	45.68507662
411	45.61453481
412	45.61039062
413	45.6103007
414	45.60971017
415	45.59936098
416	45.59930219
417	45.59873568
418	45.58777647
419	45.58775791
420	45.57757457
421	45.55906195
422	45.5584077
423	45.55513615
424	45.5551247
425	45.54554674
426	45.53409813
427	45.53274955
428	45.53215726
429	45.53200626
430	45.52207176
431	45.51316205
432	45.5038847
433	45.49897931
434	45.49658245
435	45.49517629
436	45.48019744
437	45.47970527
438	45.44435917
439	45.44430619
440	45.44054433
441	45.44009337
442	45.4399877
443	45.43923714
444	45.43792231
445	45.43556477
446	45.43511193
447	45.43243859
448	45.43239148
449	45.43218079
450	45.43046693
451	45.42857342
452	45.42527567
453	45.42507289
454	45.42295045
455	45.41888436
456	45.37969875
457	45.37931234
458	45.29918126
459	45.29787826
460	45.29596459
461	45.29312453
462	45.29026356
463	45.24733029
464	45.24698517
465	45.24623115
466	45.21469964
467	45.21443191
468	45.20831487
469	45.20789437
470	45.20727084
471	45.20686499
472	45.20458935
473	45.19877254
474	45.19723603
475	45.19117639
476	45.17546048
477	45.16551343
478	45.09599698
479	45.09588292
480	45.09486345
481	45.09383025
482	45.05128735
483	45.05122304
484	45.03473301
485	45.03411716
486	45.03376625
487	45.03309524
488	45.03285629
489	45.03249439
490	45.0322316
491	45.02688094
492	45.02673261
493	45.02631134
494	44.98207097
495	44.97541379
496	44.9721673
497	44.97185663
498	44.95507659
499	44.9383442
500	44.92089698
501	44.91919852
502	44.91726662
503	44.87923405
504	44.879066
505	44.79470687
506	44.7941085
507	44.79398158
508	44.79379706
509	44.73963714
510	44.68282521
511	44.68271415
512	44.68132121
513	44.68086461
514	44.68064361
515	44.68031989
516	44.67973085
517	44.67106017
518	44.6709616
519	44.67095184
520	44.66828858
521	44.66807249
522	44.66768625
523	44.66750696
524	44.66722514
525	44.66661101
526	44.6663342
527	44.66606412
528	44.66197883
529	44.65458293
530	44.65417198
531	44.65259798
532	44.65259676
533	44.65243474
534	44.63811257
535	44.56154273
536	44.55411162
537	44.55406505
538	44.55086495
539	44.5323299
540	44.53229444
541	44.53218168
542	44.53041236
543	44.52945786
544	44.51077032
545	44.50116777
546	44.48808512
547	44.48496556
548	44.48491368
549	44.48491277
550	44.48311274
551	44.47104363
552	44.47099638
553	44.47096242
554	44.47095509
555	44.47064135
556	44.47042261
557	44.4661159
558	44.39039403
559	44.39036106
560	44.38130017
561	44.36297181
562	44.36261696
563	44.36243686
564	44.30506004
565	44.30483521
566	44.30397714
567	44.29552912
568	44.28607374
569	44.2860417
570	44.28601562
571	44.28097949
572	44.28060132
573	44.27685305
574	44.27650615
575	44.27297419
576	44.27265299
577	44.26218207
578	44.25008413
579	44.24772789
580	44.23885553
581	44.23117107
582	44.23041951
583	44.23032453
584	44.22994209
585	44.22953583
586	44.22909541
587	44.22901329
588	44.21451999
589	44.2051374
590	44.18918804
591	44.17116539
592	44.14435551
593	44.13686586
594	44.12987941
595	44.12968943
596	44.12964101
597	44.12299328
598	44.11473712
599	44.11448801
600	44.06221124
601	44.06188755
602	44.06146019
603	44.05310815
604	44.04631738
605	44.04322255
606	44.03955764
607	44.03905847
608	44.01983291
609	44.01969859
610	44.01968784
611	44.01863992
612	44.01856381
613	43.98771513
614	43.98768722
615	43.97211691
616	43.97205286
617	43.95725439
618	43.94308893
619	43.90621338
620	43.90614103
621	43.90510977
622	43.905093
623	43.87775303
624	43.86746805
625	43.85991557
626	43.85966201
627	43.8593619
628	43.85791811
629	43.85736901
630	43.85731165
631	43.85725729
632	43.83769055
633	43.83751133
634	43.82941568
635	43.77953744
636	43.76595819
637	43.76591332
638	43.74015872
639	43.73975143
640	43.7152848
641	43.71465379
642	43.69141502
643	43.66306561
644	43.66303478
645	43.62591161
646	43.62590275
647	43.60750203
648	43.59368335
649	43.59366421
650	43.59360616
651	43.56941845
652	43.5558653
653	43.55555349
654	43.5422304
655	43.53393107
656	43.53190382
657	43.5317429
658	43.51681806
659	43.51643085
660	43.46304574
661	43.46273436
662	43.45947724
663	43.4587576
664	43.45798554
665	43.4529249
666	43.43380112
667	43.4290278
668	43.42785229
669	43.4277902
670	43.42770532
671	43.40431231
672	43.40426697
673	43.39893955
674	43.39865833
675	43.38320207
676	43.34420123
677	43.32204045
678	43.32199154
679	43.32163937
680	43.32142512
681	43.31373177
682	43.30969625
